Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
745,Durgaiburu,274.69,CTE,General,"Construct garland drains, settling tanks and check dams around dump(s)","That, the proponent shall construct garland drains, settling tanks and check dams of appropriate size around the mines pit, soil or mineral or over burden dump(s) to prevent run off of water and flow of sediments directly into the Karo river, the Koina river, seasonal nallah and other water bodies.",image,(xiv),3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,1/22/2025,1/22/2025,2/4/2025,2/6/2025,2/6/2025,2/6/2025
746,Durgaiburu,274.69,CTE,General,Keep vehicular emission under control by regular monitoring,"That, the proponent shall keep the vehicular emission under control by regularly monitoring of the vehicles used in mining operations and in transportation of minerals. The engaged vehicles shall be covered with a tarpaulin and shall not be overloaded at any cost. No transportation of ore outside the mine shall be carried out after the sunset.",pdf,(xv),2,0,Gua,Iron Ore Mine,Ankit,Vinay,Evidence Pending,4/4/2025,4/4/2025,5/14/2025,,12/31/2027,12/31/2027
747,Durgaiburu,274.69,CTE,General,Cover engaged vehicles with tarpaulin,"That, the proponent shall keep the vehicular emission under control by regularly monitoring of the vehicles used in mining operations and in transportation of minerals. The engaged vehicles shall be covered with a tarpaulin and shall not be overloaded at any cost. No transportation of ore outside the mine shall be carried out after the sunset.",image,(xv),1,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,3/24/2024,3/24/2024,4/10/2024,4/11/2024,4/11/2024,4/11/2024
748,Durgaiburu,274.69,CTE,General,Do not overload vehicles,"That, the proponent shall keep the vehicular emission under control by regularly monitoring of the vehicles used in mining operations and in transportation of minerals. The engaged vehicles shall be covered with a tarpaulin and shall not be overloaded at any cost. No transportation of ore outside the mine shall be carried out after the sunset.",image,(xv),1,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
749,Durgaiburu,274.69,CTE,General,No transportation of ore outside the mine after sunset,"That, the proponent shall keep the vehicular emission under control by regularly monitoring of the vehicles used in mining operations and in transportation of minerals. The engaged vehicles shall be covered with a tarpaulin and shall not be overloaded at any cost. No transportation of ore outside the mine shall be carried out after the sunset.",pdf,(xv),3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/29/2024,4/29/2024,5/7/2024,5/8/2024,5/8/2024,5/8/2024
750,Durgaiburu,274.69,CTE,General,Carry out blasting operation only during the day time,"That, the proponent shall carry out blasting operation only during the day time and no blasting shall be carried out after sunset.",pdf,(xvi),3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,12/28/2024,12/28/2024,1/11/2025,1/13/2025,1/13/2025,1/13/2025
751,Durgaiburu,274.69,CTE,General,No blasting shall be carried out after sunset,"That, the proponent shall carry out blasting operation only during the day time and no blasting shall be carried out after sunset.",pdf,(xvi),3,0,Gua,Iron Ore Mine,Naveen,test_user_SUPER,Approval Pending,2/4/2025,2/4/2025,3/5/2025,,12/31/2027,12/31/2027
752,Durgaiburu,274.69,CTE,General,Implement plan of rainwater harvesting with establishment of project on long term basis,"That, the proponent shall implement the plan of rainwater harvesting with establishment of the project on long term basis in consultation with the Directorate of Ground Water Authority, Government of Jharkhand or Regional Director, Central Ground Water Board.","pdf,image",(xvii),2,0,Gua,Iron Ore Mine,Naveen,Ankit,Approval Pending,11/11/2024,11/11/2024,12/12/2024,,12/31/2027,12/31/2027
753,Durgaiburu,274.69,CTE,General,Make all roads pucca,"That, the proponent shall make all roads pucca and shall maintain a good house keeping by regular cleaning and wetting of the roads and dust prone areas. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading at transfer points should be carried out and properly maintained.",image,(xviii),2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,12/19/2024,12/19/2024,1/14/2025,1/16/2025,1/16/2025,1/16/2025
754,Durgaiburu,274.69,CTE,General,Maintain good house keeping by regular cleaning and wetting,"That, the proponent shall make all roads pucca and shall maintain a good house keeping by regular cleaning and wetting of the roads and dust prone areas. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading at transfer points should be carried out and properly maintained.",image,(xviii),1,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,9/27/2024,9/27/2024,10/19/2024,10/20/2024,10/20/2024,10/20/2024
755,Durgaiburu,274.69,CTE,General,Control fugitive dust emissions from all sources regularly,"That, the proponent shall make all roads pucca and shall maintain a good house keeping by regular cleaning and wetting of the roads and dust prone areas. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading at transfer points should be carried out and properly maintained.","image,pdf",(xviii),3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,3/29/2024,3/29/2024,4/16/2024,4/17/2024,4/17/2024,4/17/2024
756,Durgaiburu,274.69,CTE,General,Properly maintain water spraying arrangement on haul roads and transfer points,"That, the proponent shall make all roads pucca and shall maintain a good house keeping by regular cleaning and wetting of the roads and dust prone areas. Fugitive dust emissions from all the sources should be controlled regularly. Water spraying arrangement on haul roads, loading and unloading at transfer points should be carried out and properly maintained.",image,(xviii),2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,11/13/2024,11/13/2024,11/23/2024,11/25/2024,11/25/2024,11/25/2024
757,Durgaiburu,274.69,CTE,General,Submit environmental statement (Form-V) for each financial year,"That, the proponent shall submit environmental statement for each financial year ending 31st March in Form-V under the Environment (Protection) Rule, 1986 to the Regional Office, JSPCB, Jamshedpur and State Pollution Control Board at Ranchi.",pdf,(xix),2,0,Gua,Iron Ore Mine,Naveen,test_user_SUPER,Approval Pending,12/20/2024,12/20/2024,1/14/2025,,12/31/2027,12/31/2027
758,Durgaiburu,274.69,CTE,General,Not allow flow of mine water outside lease hold area,"That, the proponent shall not allow the flow of mine water outside the lease hold area and shall use it for dust suppression and underground water recharge.","image,pdf",(xx),3,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,3/20/2025,3/20/2025,4/1/2025,,12/31/2027,12/31/2027
759,Durgaiburu,274.69,CTE,General,Use mine water for dust suppression and underground water recharge,"That, the proponent shall not allow the flow of mine water outside the lease hold area and shall use it for dust suppression and underground water recharge.",pdf,(xx),2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,7/14/2024,7/14/2024,8/10/2024,8/12/2024,8/12/2024,8/12/2024
760,Durgaiburu,274.69,CTE,General,Comply with all conditions imposed in Environmental Clearance,"That, the proponent shall comply with all the conditions imposed in Environmental Clearance issued by the Ministry of Environment & Forest, Government of India, New Delhi.",pdf,(xxi),4,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
761,Durgaiburu,274.69,CTE,General,Preserve live soil of the mine(s),"That, the proponent shall preserve live soil of the mine(s) and shall reclaim mined out areas by filling it (them) with over burden and live soil and shall do tree plantation over it (them).","image,pdf",(xxii),2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
762,Durgaiburu,274.69,CTE,General,Reclaim mined out areas by filling with over burden and live soil,"That, the proponent shall preserve live soil of the mine(s) and shall reclaim mined out areas by filling it (them) with over burden and live soil and shall do tree plantation over it (them).","image,pdf",(xxii),3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
763,Durgaiburu,274.69,CTE,General,Do tree plantation over reclaimed areas,"That, the proponent shall preserve live soil of the mine(s) and shall reclaim mined out areas by filling it (them) with over burden and live soil and shall do tree plantation over it (them).","image,pdf",(xxii),3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
764,Durgaiburu,274.69,CTE,General,"Do not alter flow path of any river, stream or water body without prior permission","That, the proponent shall not alter the flow path or course of any river or stream or water body without prior permission from the competent authority.","kml,pdf",(xxiii),4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/19/2024,5/19/2024,6/13/2024,6/14/2024,6/14/2024,6/14/2024
765,Durgaiburu,274.69,CTE,General,"Do mining operations at least 200 meters away from river, stream or water body banks","That, the proponent shall do mining operations at least 200 meters away from the bank of any river or stream or water body.",kml,(xxiv),4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,2/19/2025,2/19/2025,3/19/2025,3/21/2025,3/21/2025,3/21/2025
766,Durgaiburu,274.69,CTE,General,Install sewage treatment plant for the colony,"That, sewage treatment plant shall be installed for the colony and ETP shall be provided for workshop and waste water generated during the mining operation.","image,pdf",(xxv),2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/19/2025,4/19/2025,5/1/2025,5/3/2025,5/3/2025,5/3/2025
767,Durgaiburu,274.69,CTE,General,Provide ETP for workshop and waste water,"That, sewage treatment plant shall be installed for the colony and ETP shall be provided for workshop and waste water generated during the mining operation.","image,pdf",(xxv),2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,4/2/2025,4/2/2025,4/29/2025,,12/31/2027,12/31/2027
768,Durgaiburu,274.69,CTE,General,Maintain the quality and table of ground water,"That, the proponent shall maintain the quality and table of ground water and shall keep the waste water in close circuit.",pdf,(xxvi),3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,3/19/2025,3/19/2025,3/31/2025,,12/31/2027,12/31/2027
769,Durgaiburu,274.69,CTE,General,Keep waste water in close circuit,"That, the proponent shall maintain the quality and table of ground water and shall keep the waste water in close circuit.",pdf,(xxvi),3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/6/2024,10/6/2024,10/22/2024,10/25/2024,10/25/2024,10/25/2024
770,Durgaiburu,274.69,CTE,General,Monitor RSPM and NOx in ambient air periodically,"That, the proponent shall monitor the critical parameters such as RSPM and NOx in the ambient air periodically and Total Dissolved Solid, Dissolved Oxygen, pH and Total Suspended Solid in the effluent shall also be monitored.",pdf,(xxvii),3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
771,Durgaiburu,274.69,CTE,General,"Monitor TDS, DO, pH and TSS in the effluent","That, the proponent shall monitor the critical parameters such as RSPM and NOx in the ambient air periodically and Total Dissolved Solid, Dissolved Oxygen, pH and Total Suspended Solid in the effluent shall also be monitored.",pdf,(xxvii),3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/20/2025,3/20/2025,4/17/2025,4/20/2025,4/20/2025,4/20/2025
772,Durgaiburu,274.69,CTE,General,Adopt clean development mechanism,"That, the proponent shall adopt clean development mechanism.",pdf,(xxviii),2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/7/2025,3/7/2025,3/29/2025,3/31/2025,3/31/2025,3/31/2025
773,Durgaiburu,274.69,CTE,General,Submit final mine closure plan and corpus fund details to MOEF,"That, a final mine closure plan along with details of corpus fund should be submitted to the MOEF, Govt. of India five years in advance of mine closure for approval.",pdf,(xxix),3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,7/27/2024,7/27/2024,8/13/2024,8/14/2024,8/14/2024,8/14/2024
774,Durgaiburu,274.69,CTE,General,Obtain approval for compliance of specific condition (ii) of EC,"That, the proponent shall obtain approval from the competent authority for the compliance of condition no. (ii) of the specific conditions of the Environmental Clearance order dated 25.03.2013.",pdf,(xxx),3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
775,Durgaiburu,274.69,CTE,General,Do not repeat violation of the provision,"That, the proponent shall not repeat the violation of the provision and shall not operate the mines till validity of forest clearance.",pdf,(xxxi),3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/25/2024,5/25/2024,6/11/2024,6/13/2024,6/13/2024,6/13/2024
776,Durgaiburu,274.69,CTE,General,Do not operate the mines till validity of forest clearance,"That, the proponent shall not repeat the violation of the provision and shall not operate the mines till validity of forest clearance.",pdf,(xxxi),4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,6/5/2025,6/5/2025,6/12/2025,6/14/2025,6/14/2025,6/14/2025
777,Durgaiburu,274.69,CTE,General,Do not carry out mining activities in forest area without forestry clearance,"That the proponent shall not carry out any mining activities in such forest area for which no forestry clearance has been obtained under section 2 of the Forest (Conservation) Act, 1980.","pdf,kml",(xxxii),4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/7/2024,3/7/2024,4/4/2024,4/5/2024,4/5/2024,4/5/2024
778,Durgaiburu,274.69,CTE,General,Submit compliance report about the specific and general conditions,"That, the proponent shall submit compliance report about the specific and general conditions imposed in the Environmental",pdf,(xxxiii),2,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,8/31/2025,8/31/2025,10/4/2025,,12/31/2027,12/31/2027
779,Jhillingburu - II,30.43,EC,Specific,EC validity is subject to conditions,This Environmental Clearance is valid subject to the following condition below - That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,i,4,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,3/24/2024,3/24/2024,4/2/2024,4/5/2024,4/5/2024,4/5/2024
780,Jhillingburu - II,30.43,EC,Specific,Obtain all legal rights to operate,This Environmental Clearance is valid subject to the following condition below - That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,i,4,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,7/24/2024,7/24/2024,8/14/2024,8/16/2024,8/16/2024,8/16/2024
781,Jhillingburu - II,30.43,EC,Specific,Comply with all existing concerned laws,This Environmental Clearance is valid subject to the following condition below - That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,i,4,0,Gua,Manganese Ore Mine,Naveen,test_user_SUPER,Approval Pending,11/27/2024,11/27/2024,12/13/2024,,12/31/2027,12/31/2027
782,Jhillingburu - II,30.43,EC,Specific,Comply with SEIAA decisions on EC,This Environmental Clearance is valid subject to the following condition below - That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,i,4,0,Gua,Manganese Ore Mine,Ankit,Shreyas,Evidence Pending,5/1/2025,5/1/2025,6/8/2025,,12/31/2027,12/31/2027
783,Jhillingburu - II,30.43,EC,Statutory,"Obtain forest clearance under Forest (Conservation) Act, 1986","The project proponent shall obtain forest clearance under the provisions of Forest (Conservation) Act, 1986, in case of the diversion of forest land for non-forest purpose involved in the project.",pdf,i,4,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
784,Jhillingburu - II,30.43,EC,Statutory,"Obtain clearance from National Board for Wildlife, if applicable","The project proponent shall obtain clearance from the National Board for Wildlife, if applicable.",pdf,ii,4,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,9/28/2024,9/28/2024,10/18/2024,10/20/2024,10/20/2024,10/20/2024
785,Jhillingburu - II,30.43,EC,Statutory,Prepare a Site-Specific Conservation Plan & Wildlife Management Plan,The project proponent shall prepare a Site-Specific Conservation Plan & Wildlife Management Plan and approved by the Chief Wildlife Warden. The recommendations of the approved Site-Specific Conservation Plan / Wildlife Management Plan shall be implemented in consultation with the State Forest Department. The implementation report shall be furnished along with the six-monthly compliance report. (in case of the presence of schedule-l species in the study area),pdf,iii,3,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,4/3/2025,4/3/2025,4/19/2025,4/22/2025,4/22/2025,4/22/2025
786,Jhillingburu - II,30.43,EC,Statutory,Implement recommendations of approved plan in consultation with State Forest Dept,The project proponent shall prepare a Site-Specific Conservation Plan & Wildlife Management Plan and approved by the Chief Wildlife Warden. The recommendations of the approved Site-Specific Conservation Plan / Wildlife Management Plan shall be implemented in consultation with the State Forest Department. The implementation report shall be furnished along with the six-monthly compliance report. (in case of the presence of schedule-l species in the study area),"pdf,image",iii,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
787,Jhillingburu - II,30.43,EC,Statutory,Furnish implementation report with six-monthly compliance report,The project proponent shall prepare a Site-Specific Conservation Plan & Wildlife Management Plan and approved by the Chief Wildlife Warden. The recommendations of the approved Site-Specific Conservation Plan / Wildlife Management Plan shall be implemented in consultation with the State Forest Department. The implementation report shall be furnished along with the six-monthly compliance report. (in case of the presence of schedule-l species in the study area),pdf,iii,2,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,4/24/2025,4/24/2025,5/17/2025,5/19/2025,5/19/2025,5/19/2025
788,Jhillingburu - II,30.43,EC,Statutory,Obtain Consent to Establish/Operate under Air and Water Acts,"The project proponent shall obtain Consent to Establish / Operate under the provisions of Air (Prevention & Control of Pollution) Act, 1981 and the Water (Prevention & Control of Pollution) Act, 1974 from the concerned State pollution Control Board/Committee.",pdf,iv,4,0,Gua,Manganese Ore Mine,Ankit,Shreyas,Evidence Pending,6/6/2025,6/6/2025,7/17/2025,,12/31/2027,12/31/2027
789,Jhillingburu - II,30.43,EC,Statutory,Obtain permission from CGWA for drawl of ground water,"The project proponent shall obtain the necessary permission from the Central Ground Water Authority, in case of drawl of ground water / from the competent authority concerned in case of drawl of surface water required for the project.",pdf,v,3,0,Gua,Manganese Ore Mine,Naveen,Ankit,Approval Pending,1/15/2025,1/15/2025,2/1/2025,,12/31/2027,12/31/2027
790,Jhillingburu - II,30.43,EC,Statutory,Obtain permission from competent authority for drawl of surface water,"The project proponent shall obtain the necessary permission from the Central Ground Water Authority, in case of drawl of ground water / from the competent authority concerned in case of drawl of surface water required for the project.",pdf,v,3,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,5/16/2024,5/16/2024,6/11/2024,6/13/2024,6/13/2024,6/13/2024
791,Jhillingburu - II,30.43,EC,Statutory,"Obtain authorization under Hazardous and other Waste Management Rules, 2016","The project proponent shall obtain authorization under the Hazardous and other Waste Management Rules, 2016 as amended from time to time.",pdf,vi,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
792,Jhillingburu - II,30.43,EC,Statutory,"Obtain a modified approved mine plan as per MCR, 2017","A modified approved mine plan as per MCR, 2017 and mine closure plan as per MCDR, 2017 should be obtained by the proponent.",pdf,vii,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
793,Jhillingburu - II,30.43,EC,Statutory,"Obtain mine closure plan as per MCDR, 2017","A modified approved mine plan as per MCR, 2017 and mine closure plan as per MCDR, 2017 should be obtained by the proponent.",pdf,vii,3,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,9/5/2024,9/5/2024,10/2/2024,10/4/2024,10/4/2024,10/4/2024
794,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Install 24x7 continuous emission monitoring system at process stacks,"The project proponent shall install 24x7 continuous emission monitoring system at process stacks to monitor stack emission with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. Monitor fugitive emissions in the plant premises.","image,pdf",i,3,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,11/5/2024,11/5/2024,11/13/2024,11/15/2024,11/15/2024,11/15/2024
795,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Connect system to SPCB and CPCB online servers,"The project proponent shall install 24x7 continuous emission monitoring system at process stacks to monitor stack emission with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. Monitor fugitive emissions in the plant premises.",pdf,i,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
796,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Calibrate system from time to time through recognized labs,"The project proponent shall install 24x7 continuous emission monitoring system at process stacks to monitor stack emission with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. Monitor fugitive emissions in the plant premises.",pdf,i,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,3/20/2025,3/20/2025,4/17/2025,4/19/2025,4/19/2025,4/19/2025
797,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Monitor fugitive emissions in the plant premises,"The project proponent shall install 24x7 continuous emission monitoring system at process stacks to monitor stack emission with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. Monitor fugitive emissions in the plant premises.",pdf,i,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,5/1/2024,5/1/2024,5/29/2024,6/1/2024,6/1/2024,6/1/2024
798,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Monitor fugitive emissions at least once in every quarter,"The project proponent shall monitor fugitive emissions in the plant premises at least once in every quarter through labs recognised under Environment (Protection) Act, 1986.",pdf,ii,2,0,Gua,Manganese Ore Mine,Shreyas,test_user,Approval Pending,11/8/2024,11/8/2024,12/3/2024,,12/31/2027,12/31/2027
799,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Install system for Continuous Ambient Air Quality monitoring,"The project proponent shall install system to carryout Continuous Ambient Air Quality monitoring for common/criterion parameters relevant to the main pollutants released (e.g. PM 10 and PM2.5 in reference to PM emission, and SO2 and NOx in reference to SO2 and NOx emissions) within and outside the plant area at least at four locations (one within and three outside the plant area at an angle of 120° each), covering upwind and downwind directions. (case to case basis small plants: Manual; Large plants: Continuous)","image,pdf",iii,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
800,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,"Monitor for PM10, PM2.5, SO2, and NOx at four locations","The project proponent shall install system to carryout Continuous Ambient Air Quality monitoring for common/criterion parameters relevant to the main pollutants released (e.g. PM 10 and PM2.5 in reference to PM emission, and SO2 and NOx in reference to SO2 and NOx emissions) within and outside the plant area at least at four locations (one within and three outside the plant area at an angle of 120° each), covering upwind and downwind directions. (case to case basis small plants: Manual; Large plants: Continuous)",pdf,iii,3,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,3/30/2025,3/30/2025,4/25/2025,4/26/2025,4/26/2025,4/26/2025
801,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Submit monthly summary report of continuous stack emission and air quality monitoring,"The project proponent shall submit monthly summary report of continuous stack emission and air quality monitoring and results of manual stack monitoring and manual monitoring of air quality/fugitive emissions to Regional Office of MoEF&CC, Zonal office of CPCB and Regional Office of SPCB along with six-monthly monitoring report.",pdf,iv,2,0,Gua,Manganese Ore Mine,Naveen,test_user_SUPER,Approval Pending,10/11/2024,10/11/2024,11/14/2024,,12/31/2027,12/31/2027
802,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Provide appropriate Air Pollution Control (APC) system for all dust generating points,"Appropriate Air Pollution Control (APC) system shall be provided for all the dust generating points including fugitive dust from all vulnerable sources, so as to comply prescribed stack emission and fugitive emission standards.",image,v,3,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,7/31/2024,7/31/2024,8/15/2024,8/17/2024,8/17/2024,8/17/2024
803,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Use leak proof trucks/dumpers for carrying ore and other raw materials,The project proponent use leak proof trucks/dumpers carrying ore and other raw materials and cover them with tarpaulin.,image,vi,2,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,4/2/2025,4/2/2025,4/12/2025,4/14/2025,4/14/2025,4/14/2025
804,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Cover trucks/dumpers with tarpaulin,The project proponent use leak proof trucks/dumpers carrying ore and other raw materials and cover them with tarpaulin.,image,vi,1,0,Gua,Manganese Ore Mine,Naveen,test_user_SUPER,Approval Pending,9/11/2024,9/11/2024,9/28/2024,,12/31/2027,12/31/2027
805,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Provide wind shelter fence and chemical spraying on raw material stock piles,Wind shelter fence and chemical spraying shall be provided on the raw material stock piles.,image,vii,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
806,Jhillingburu - II,30.43,EC,Air quality monitoring and preservation,Design ventilation system for adequate air changes as per ACGIH document,"Design the ventilation system for adequate air changes as per ACGIH document for all tunnels, motor houses, Oil Cellars.",pdf,viii,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
807,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Install 24x7 continuous effluent monitoring system,"The project proponent shall install 24x7 continuous effluent monitoring system with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. (case to case basis small plants: Manual; Large plants: Continuous)","image,pdf",i,3,0,Gua,Manganese Ore Mine,Shreyas,test_user,Approval Pending,11/17/2024,11/17/2024,12/11/2024,,12/31/2027,12/31/2027
808,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Connect system to SPCB and CPCB online servers,"The project proponent shall install 24x7 continuous effluent monitoring system with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. (case to case basis small plants: Manual; Large plants: Continuous)",pdf,i,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,6/11/2024,6/11/2024,7/1/2024,7/2/2024,7/2/2024,7/2/2024
809,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Calibrate system from time to time through recognized labs,"The project proponent shall install 24x7 continuous effluent monitoring system with respect to standards prescribed in Environment (Protection) Rules 1986 as amended from time to time and connected to SPCB and CPCB online servers and calibrate these system from time to time according to equipment supplier specification through labs recognised under Environment (Protection) Act, 1986 or NABL accredited laboratories. (case to case basis small plants: Manual; Large plants: Continuous)",pdf,i,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,12/12/2024,12/12/2024,1/7/2025,1/8/2025,1/8/2025,1/8/2025
810,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Monitor ground water quality at least twice a year (pre and post monsoon),"The project proponent shall monitor regularly ground water quality at least twice a year (pre and post monsoon) at sufficient numbers of piezometers/sampling wells in the plant and adjacent areas through labs recognised under Environment (Protection) Act, 1986 and NABL accredited laboratories.",pdf,ii,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
811,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Submit monthly summary report of continuous effluent monitoring,"The project proponent shall submit monthly summary report of continuous effluent monitoring and results of manual effluent testing and manual monitoring of ground water quality to Regional Office of MoEF&CC, Zonal office of CPCB and Regional Office of SPCB along with six-monthly monitoring report.",pdf,iii,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,12/14/2024,12/14/2024,1/1/2025,1/4/2025,1/4/2025,1/4/2025
